               ,(1),(2),(3),(4)
               ,logdif_emp_p1,logdif_emp_p2,logdif_wage_p1,logdif_wage_p2
,,,,
logrw2004      ,-3.24,,-9.44**,
               ,(0.33),,(0.00),
,,,,
logrw2004_sq   ,0.27,,0.72**,
               ,(0.29),,(0.00),
,,,,
logrw2012      ,,-3.35,,-0.68
               ,,(0.25),,(0.58)
,,,,
logrw2012_sq   ,,0.25,,0.03
               ,,(0.22),,(0.71)
,,,,
Constant       ,9.65,10.97,31.31**,3.28
               ,(0.37),(0.29),(0.00),(0.45)
,,,,
Observations   ,22,32,22,32
R-squared      ,0.295,0.259,0.423,0.624
Adjusted R-squared,0.221,0.208,0.362,0.598
,,,,
p-values in parentheses,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,