,(1),(2),(3),(4),(5),(6),(7)
,hincome,hincome,hincome,hincome,hincome,hincome,hincome
abstract,,0.46***,,0.23**,,0.35***,0.26**
,,(0.09),,(0.09),,(0.09),(0.09)
routine,,-0.40***,,-0.14,,-0.28**,-0.10
,,(0.09),,(0.09),,(0.09),(0.09)
manual,,-0.30***,,-0.11,,-0.31***,-0.18*
,,(0.07),,(0.07),,(0.08),(0.07)
edcat5=1,0.00,,,0.00,0.00,,0.00
,(.),,,(.),(.),,(.)
edcat5=2,0.82***,,,0.71***,0.59***,,0.55**
,(0.16),,,(0.16),(0.17),,(0.17)
edcat5=4,1.53***,,,1.27***,1.06***,,0.90***
,(0.25),,,(0.26),(0.27),,(0.27)
edcat5=5,3.12***,,,2.73***,2.39***,,2.16***
,(0.23),,,(0.25),(0.28),,(0.28)
edcat5=6,3.27***,,,2.71***,2.51***,,2.11***
,(0.42),,,(0.44),(0.46),,(0.47)
compex,-0.36,,,-0.22,-0.28,,-0.18
,(0.19),,,(0.19),(0.19),,(0.19)
exp,0.18***,,,0.16***,0.16***,,0.15***
,(0.02),,,(0.02),(0.02),,(0.02)
exp_sq_100,-0.41***,,,-0.39***,-0.38***,,-0.36***
,(0.06),,,(0.06),(0.06),,(0.06)
pared=1,0.00,,,0.00,0.00,,0.00
,(.),,,(.),(.),,(.)
pared=2,0.14,,,0.11,0.10,,0.11
,(0.22),,,(0.22),(0.23),,(0.23)
pared=3,0.38,,,0.27,0.29,,0.19
,(0.30),,,(0.30),(0.30),,(0.31)
male,-0.18,,,-0.12,-0.13,,-0.07
,(0.16),,,(0.16),(0.16),,(0.16)
age_int_5,0.11*,,,0.10*,0.15**,,0.14**
,(0.05),,,(0.05),(0.05),,(0.05)
,,,,,,,
,,,,,,,
Constant,4.03***,6.02***,5.25**,4.25***,3.61***,9.65***,3.81***
,(0.65),(0.60),(1.78),(0.65),(0.86),(2.17),(0.86)
,,,,,,,
Observations,1522,1521,1527,1516,1522,1521,1516
Adjusted R-squared,0.319,0.226,0.247,0.328,0.338,0.277,0.346
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Standard errors in parentheses,,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,,