               ,(1),(2),(3),(4),(5),(6),(7),(8)
               ,logdif_emp_p1,logdif_emp_p2,logdif_wage_p1,logdif_wage_p2,logdif_emp_p1,logdif_emp_p2,logdif_wage_p1,logdif_wage_p2
,,,,,,,,
rti            ,-0.06*,-0.17,-0.05*,0.29***,,,,
               ,(-2.73),(-1.26),(-2.20),(4.50),,,,
,,,,,,,,
rti_piaac      ,,,,,-0.02,-0.14,-0.08,0.23*
               ,,,,,(-0.35),(-0.88),(-1.61),(2.63)
,,,,,,,,
Constant       ,0.00,0.08,0.41***,-0.05,0.01,0.04,0.41***,0.02
               ,(0.14),(0.77),(12.09),(-1.16),(0.16),(0.39),(11.63),(0.35)
,,,,,,,,
Observations   ,22,32,22,32,22,32,22,32
R-squared      ,0.271,0.050,0.194,0.403,0.006,0.025,0.115,0.187
Adjusted R-squared,0.234,0.018,0.154,0.383,-0.044,-0.007,0.071,0.160
,,,,,,,,
t statistics in parentheses,,,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,,,